distance,loss
799.900,30.935
800.000,30.935
800.100,30.928
800.200,30.915
800.300,30.892
800.400,30.860
800.500,30.824
800.600,30.786
800.700,30.749
800.800,30.716
800.900,30.691
801.000,30.676
801.100,30.675
801.200,30.689
801.300,30.713
801.400,30.745
801.500,30.782
801.600,30.820
801.700,30.857
801.800,30.889
801.900,30.912
802.000,30.927
802.100,30.933
802.200,30.934
802.300,30.930
802.400,30.923
802.500,30.915
802.600,30.908
802.700,30.902
802.800,30.899
802.900,30.899
803.000,30.900
803.100,30.901
803.200,30.903
803.300,30.905
803.400,30.905
803.500,30.903
803.600,30.900
803.700,30.896
803.800,30.891
803.900,30.888
804.000,30.888
804.100,30.890
804.200,30.896
804.300,30.908
804.400,30.925
804.500,30.947
804.600,30.973
804.700,31.003
804.800,31.035
804.900,31.070
805.000,31.106
805.100,31.142
805.200,31.178
805.300,31.214
805.400,31.247
805.500,31.279
805.600,31.307
805.700,31.331
805.800,31.351
805.900,31.366
806.000,31.376
806.100,31.380
806.200,31.381
806.300,31.380
806.400,31.376
806.500,31.372
806.600,31.367
806.700,31.364
806.800,31.362
806.900,31.362
807.000,31.362
807.100,31.363
807.200,31.364
807.300,31.365
807.400,31.365
807.500,31.364
807.600,31.362
807.700,31.358
807.800,31.355
807.900,31.353
808.000,31.352
808.100,31.353
808.200,31.357
808.300,31.365
808.400,31.376
808.500,31.389
808.600,31.401
808.700,31.410
808.800,31.413
808.900,31.408
809.000,31.393
809.100,31.364
809.200,31.321
809.300,31.265
809.400,31.202
809.500,31.135
809.600,31.068
809.700,31.005
809.800,30.949
809.900,30.905
810.000,30.876
810.100,30.860
810.200,30.854
810.300,30.857
810.400,30.866
810.500,30.878
810.600,30.892
810.700,30.903
810.800,30.911
810.900,30.915
811.000,30.917
811.100,30.916
811.200,30.914
811.300,30.910
811.400,30.907
811.500,30.904
811.600,30.903
811.700,30.902
811.800,30.902
811.900,30.903
812.000,30.903
812.100,30.904
812.200,30.904
812.300,30.904
812.400,30.903
812.500,30.901
812.600,30.899
812.700,30.897
812.800,30.896
812.900,30.897
813.000,30.899
813.100,30.903
813.200,30.909
813.300,30.917
813.400,30.926
813.500,30.932
813.600,30.935
813.700,30.934
813.800,30.926
813.900,30.910
814.000,30.885
814.100,30.852
814.200,30.815
814.300,30.776
814.400,30.740
814.500,30.709
814.600,30.686
814.700,30.675
814.800,30.678
814.900,30.694
815.000,30.721
815.100,30.754
815.200,30.792
815.300,30.830
815.400,30.866
815.500,30.895
815.600,30.917
815.700,30.929
815.800,30.934
815.900,30.933
